"","ID","g","b","m","com","starting","c_1","c_2","c_12","c_21","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","rho_plus_sd_inter_replicates","rho_nurse_ini","rho_nurse","rho_nurse_sd","rho_nurse_sd_inter_replicates","rho_protege_ini","rho_protege","rho_protege_sd","rho_nurse_sd_inter_replicates.1","q_1_1","q_1_1_sd","q_1_1_inter_replicates","q_2_2","q_2_2_sd","q_2_2_inter_replicates","q_1_2","q_1_2_sd","q_1_2_inter_replicates","q_2_1","q_2_1_sd","q_2_1_inter_replicates","clus_1_1","clus_1_1_sd","clus_1_1_inter_replicates","clus_2_2","clus_2_2_sd","clus_2_2_inter_replicates","clus_1_2","clus_1_2_sd","clus_1_2_inter_replicates","clus_2_1","clus_2_1_sd","clus_2_1_inter_replicates","runtime.1"
"1",1,0,0.9,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,548.82,45.7208389152158,0.5,0.969615812093953,0.00346261791569928,0.000275963375707508,0.25,0.471391384307846,0.25,0.0224550110172565,0.25,0.498224427786107,0.25,0.0224365103681558,0.630249749155339,0.0108948177863811,0.0184642045998545,0.648762518736079,0.0116777603577438,0.0131569708042623,0.321071176926989,0.0112398563443806,0.0131828192960836,0.339542729862913,0.0102944748381928,0.0184739338463919,1.33858807547898,0.00649418766697397,0.0268781686571353,1.30382399432318,0.00531861536844126,0.0340597826018858,0.681316682490225,0.00265897671743758,0.00947191015619126,0.681316682490225,0.00265897671743758,0.00947191015619126,501.6
"2",2,0,0.8,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,582.82,144.407400549049,0.5,0.965026966516742,0.00371919211905101,0.000447260846774801,0.25,0.460765697151424,0.25,0.0204720465676559,0.25,0.504261269365317,0.25,0.0203590501456285,0.619543840514804,0.0100883166096617,0.0167510949348199,0.649427688563521,0.0114690890883488,0.0133027267858113,0.315860725031136,0.0107036288096048,0.0135433369542146,0.345737293966648,0.00948562508854776,0.0167646575426723,1.34598655576415,0.00864479644566419,0.0293131314834838,1.28901497210614,0.00403952246011546,0.0293303374464412,0.685578221951643,0.00625383389233192,0.0120115321863742,0.685578221951643,0.00625383389233192,0.0120115321863742,501.2
"3",3,0,0.7,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,596.76,95.7828469913991,0.5,0.958532793603198,0.00403429285212575,0.000316529440545767,0.25,0.455900729635182,0.25,0.0311990850280104,0.25,0.502632063968016,0.25,0.030934483876379,0.615954872145491,0.0105123652151244,0.0201050771975176,0.647457638137526,0.00958032010556219,0.0235487264603984,0.31135947845021,0.00891462977947996,0.023853608506993,0.343043032163992,0.00964032603611278,0.0200077723327615,1.35486211309007,0.005446662248026,0.0583785905062675,1.29021807467534,0.00389305325153177,0.0357044311743669,0.68271133080349,0.00218645351817553,0.0145601946725475,0.68271133080349,0.00218645351817553,0.0145601946725475,532
"4",4,0,0.6,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,618.38,104.156397360465,0.5,0.949216191904048,0.00440707790670633,0.000402618661486104,0.25,0.476631984007996,0.25,0.0425539215036907,0.25,0.472584207896052,0.25,0.0425768558101561,0.623842785538216,0.0113688558262423,0.0289615044083472,0.621489782425418,0.0111988179579236,0.0295013579781201,0.328484708932501,0.010359549842881,0.0296254902232991,0.325659363997292,0.0106898569913591,0.0290536318009731,1.31358650299508,0.00650878266081628,0.0555395189352736,1.32041670909229,0.00870557600384584,0.0620623671231581,0.689140712961064,0.0043152450667598,0.00578979517338945,0.689140712961064,0.0043152450667598,0.00578979517338945,606.8
"5",5,0,0.5,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,588.64,99.6240399368211,0.5,0.934463508245877,0.00497107498407416,0.000752440340339592,0.25,0.450079780109945,0.25,0.0203714416586296,0.25,0.484383728135932,0.25,0.0201045762233197,0.593949915757486,0.0124908029148326,0.013200898625678,0.618068667490948,0.0105649071953331,0.0158621085412233,0.317168197641516,0.00914592960833832,0.016327904482336,0.341275544945763,0.0115045263197892,0.0131146396753621,1.32126334939058,0.00631524350388782,0.0343574750340508,1.27709556003098,0.00498412127090822,0.0222567484437129,0.704622920459391,0.00387930752995523,0.00928044968339532,0.704622920459391,0.00387930752995523,0.00928044968339532,699.2
"6",6,0,0.4,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,589.8,80.5182656986048,0.5,0.907623248375812,0.0057923995647159,0.00105112818986699,0.25,0.462028525737131,0.25,0.0292878070706371,0.25,0.445594722638681,0.25,0.0286641795872559,0.593394855197911,0.0120080876919805,0.0203833722060276,0.582003501741506,0.0131933310381435,0.0205842636713057,0.327156366027883,0.0116424176012363,0.0217249834861428,0.315420135795197,0.010585992438952,0.0201256373904586,1.28687769717224,0.00563748804261576,0.0402560072120849,1.30861106343114,0.00488445519348802,0.0390190044162965,0.707980689133543,0.0043092146071612,0.00867062226587618,0.707980689133543,0.0043092146071612,0.00867062226587618,562
"7",7,0.05,0.9,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,1120.08,508.132967724875,0.5,0.968835042478761,0.00344746822231715,0.000283229332640875,0.25,0.651259250374813,0.25,0.0778487135755967,0.25,0.317575792103948,0.25,0.0778680818590493,0.752063617546362,0.00910997824466903,0.0540790665605263,0.524615435829961,0.0147967173772072,0.0513833088590234,0.444446058257616,0.0145188534083198,0.051450139952343,0.216983591527062,0.00864167124014424,0.0541258694403171,1.16066252902217,0.00504510107042801,0.0531479900818564,1.72057244841888,0.0253193461930325,0.311223566432412,0.682702869163542,0.00547179898091214,0.00525636609041868,0.682702869163542,0.00547179898091214,0.00525636609041868,988
"8",8,0.05,0.8,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,1417.26,580.777043087774,0.5,0.963776391804098,0.00377111016661967,0.000442865097249878,0.25,0.69160187906047,0.25,0.0981314062905234,0.25,0.272174512743628,0.25,0.0979438627295883,0.78006898646974,0.00808652063753845,0.0690506378958807,0.498837042383783,0.0148152630577921,0.0623749887296732,0.465268653135043,0.014442647833335,0.0627310194325412,0.183970505961382,0.00706910247690344,0.0689823138905351,1.13678749687502,0.00427162376945905,0.0690790181617112,1.98055578301989,0.0326198424837452,0.487993517343346,0.673640746851365,0.00357597547191903,0.0154460202707028,0.673640746851365,0.00357597547191903,0.0154460202707028,1564
"9",9,0.05,0.7,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,1458.28,430.311093667516,0.5,0.956658070964518,0.00426276303717699,0.000270286749230242,0.25,0.752494672663668,0.25,0.0566779719680849,0.25,0.20416339830085,0.25,0.0566061391047367,0.817504196035259,0.0081603475356905,0.0395465484417322,0.444100608498711,0.0160857683044361,0.0364744586838995,0.513157734663019,0.0156412729129744,0.0364509687608125,0.139419317556449,0.00708164059757917,0.0394163563503142,1.08851967883691,0.00337025234371257,0.030143860048919,2.29220092329199,0.0449248906682624,0.468475571200241,0.682142785993127,0.00443260641360824,0.00789036763629285,0.682142785993127,0.00443260641360824,0.00789036763629285,885
"10",10,0.05,0.6,0.02,"poly",0.5,0.2,0.2,0.1,0.1,10,1345.04,400.466869763003,0.5,0.94652287856072,0.00439977688788223,0.000750556670349635,0.25,0.753884577711144,0.25,0.0648562503127961,0.25,0.192638300849575,0.25,0.0653878906911568,0.813894383931522,0.00793858245544254,0.044328854080179,0.426345997116053,0.0168750381474844,0.0454625410589435,0.520978281975091,0.0164392770804866,0.0451122661825516,0.133061819866211,0.00643561852303037,0.044876130770049,1.08253858006109,0.00241089111007313,0.0374975992936981,2.40000514269873,0.0510151578363905,0.668042213768294,0.690993563627971,0.00342685229407198,0.00729540788583274,0.690993563627971,0.00342685229407198,0.00729540788583274,932.4
