"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"60",60,0.1,0.2,0,0.4,0.2,0.15,0.05,0.2,0,0.333,0,NA
"61",61,0.1,0.2,0,0.8,0.05,0.2,0.05,0.2,0,0.076,0.639,0.720698459764435
"62",62,0.1,0.2,0,0.7,0.05,0.2,0.05,0.2,0,0.071,0.598,0.706580620848839
"63",63,0.1,0.2,0,0.6,0.05,0.2,0.05,0.2,0,0.065,0.542,0.709622480840193
"64",64,0.1,0.2,0,0.5,0.05,0.2,0.05,0.2,0,0.055,0.463,0.706852542705674
"65",65,0.1,0.2,0,0.4,0.05,0.2,0.05,0.2,0,0.041,0.343,0.639977245253502
"66",66,0.1,0.2,0,0.8,0.1,0.2,0.05,0.2,0,0.645,0.032,0.726744186046512
"67",67,0.1,0.2,0,0.7,0.1,0.2,0.05,0.2,0,0.595,0.027,0.684718331777155
"68",68,0.1,0.2,0,0.6,0.1,0.2,0.05,0.2,0,0.526,0.023,0.661266325012399
"69",69,0.1,0.2,0,0.5,0.1,0.2,0.05,0.2,0,0.43,0.019,0.611995104039168
"70",70,0.1,0.2,0,0.4,0.1,0.2,0.05,0.2,0,0.295,0.015,0.677966101694915
"71",71,0.1,0.2,0,0.8,0.15,0.2,0.05,0.2,0,0.661,0.015,0.706001008572869
"72",72,0.1,0.2,0,0.7,0.15,0.2,0.05,0.2,0,0.608,0.013,0.632591093117409
"73",73,0.1,0.2,0,0.6,0.15,0.2,0.05,0.2,0,0.536,0.011,0.67842605156038
"74",74,0.1,0.2,0,0.5,0.15,0.2,0.05,0.2,0,0.438,0.009,0.76103500761035
"75",75,0.1,0.2,0,0.4,0.15,0.2,0.05,0.2,0,0.302,0.007,0.473036896877956
"76",76,0.1,0.2,0,0.8,0.2,0.2,0.05,0.2,0,0.665,0.01,0.601503759398496
"77",77,0.1,0.2,0,0.7,0.2,0.2,0.05,0.2,0,0.612,0.008,0.612745098039216
"78",78,0.1,0.2,0,0.6,0.2,0.2,0.05,0.2,0,0.54,0.007,0.793650793650794
"79",79,0.1,0.2,0,0.5,0.2,0.2,0.05,0.2,0,0.441,0.006,0.755857898715041
"80",80,0.1,0.2,0,0.4,0.2,0.2,0.05,0.2,0,0.303,0.005,0.66006600660066
"81",81,0.1,0.2,0,0.8,0.05,0.05,0.1,0.2,0,0,0.719,NA
"82",82,0.1,0.2,0,0.7,0.05,0.05,0.1,0.2,0,0,0.675,NA
"83",83,0.1,0.2,0,0.6,0.05,0.05,0.1,0.2,0,0,0.614,NA
"84",84,0.1,0.2,0,0.5,0.05,0.05,0.1,0.2,0,0,0.527,NA
"85",85,0.1,0.2,0,0.4,0.05,0.05,0.1,0.2,0,0,0.394,NA
"86",86,0.1,0.2,0,0.8,0.1,0.05,0.1,0.2,0,0.719,0,NA
"87",87,0.1,0.2,0,0.7,0.1,0.05,0.1,0.2,0,0.675,0,NA
"88",88,0.1,0.2,0,0.6,0.1,0.05,0.1,0.2,0,0.614,0,NA
"89",89,0.1,0.2,0,0.5,0.1,0.05,0.1,0.2,0,0.527,0,NA
